label,article
0,"Ayon sa TheWrap.com, naghain ng kaso si Krupa, 35, noong Huwebes dahil nakaranas umano siya ng emotional distress bunga ng mga malisyosong pahayag ni Glanville, hindi lamang tungkol sa maselang bahagi ng kanyang katawan kundi pati na rin sa kanyang buhay pag-ibig. Noong Nobyembre 2013, napanood si Brandi sa Watch What Happens Live at sinabing kinausap umano ito ng dating karelasyon ni Joanna. Si Mohamed Hadid, na noon ay kasal sa cast member ng Real Housewives of Beverly Hills na si Yolanda Foster habang nasa relasyon, ang nagsabing ang kanyang ""p--sy smelled."" (Classy pa rin naman ang pagkakabanggit dito ni Brandi.) Noong Disyembre, gumawa ng mga panibagong komento si Glanville, 42, sa kanyang pagharap sa YouTube at sinabing, ""You can't help the odor situation."" Makalipas ang ilang linggo, nagpadala ng sulat ang mga abogado ni Krupa kay Brandi tungkol sa kanilang planong pagsampa ng kaso. Nakalakip sa sulat ng abogado ni Joanna na, ""You knew your statements were false and that such were damaging and humiliating to Mrs. Krupa and/or her husband and subjected Mrs. Krupa... to hatred, ridicule, contempt and/or injury."" ""Moreover, it appears you make false statements about Mrs. Krupa to make yourself marketable and to associate your name with a celebrity in attempt to 'tag' yourself with her for media and personal searches and/or to create a brand for yourself for monetary and attempted celebrity status,"" parte pa rin ng sulat. ""Your statements are malicious and knowingly false."" Laman ng kaso ang umano'y danyos sa pagtitiis ni Krupa na mas mataas pa sa $15,000."
0,"Kilala rin ang singer sa pagkumpas ng kanyang kamay tuwing siya ay nagtatanghal sa entablado. ""His international success as a blues/rock singer began in 1964 and continues till this day. Joe created nearly 40 albums and toured extensively around the globe,"" ayon sa Sony Music, ang kanyang record label. Lumaki si Cocker sa Britain at nanirahan sa Crawford, Colorado. Nagpahayag ng pakikiramay ang mga kapwa musikero at umiidolo sa singer gamit ang kanilang Twitter, na kinilala bilang Officer of the Order of the British Empire (OBE) sa Buckingham Palace. ""Goodbye and God Bless to Joe Cocker from one of his friends peace and love. R.,"" ayon sa kanyang kabanda sa Beatles na si Ringo Starr. ""We loved you forever. We will miss you always ... RIP Joe Cocker,"" pahayag ni Steven Tyler, front man ng Aerosmith. Inilarawan naman ni Bryan Adams si Cocker bilang isang mabuting kaibigan at isa sa pinakamahuhusay na singers."
0,"BLANTYRE, Malawi (AP) -- Bumiyahe patungong Malawi si Madonna sa unang pagkakataon upang gawin ang isang misyon. Inilunsad ni Madonna ang 50-bed pediatrics ward sa Queen Elizabeth Central Hospital sa Blantyre noong Huwebes. Ayon kay Sarah Ezzy, director ng Raising Malawi, ang bagong pasilidad ay unang pediatric intensive care unit sa bansa."
0,"Kasama sa programa ang pananalangin, bulaklak at pagsindi ng kandila para sa mga biktima ng massacre. Makikibahagi ang iba ibang kasapi ng media at ang grupo ng National Union of Journalists of the Philippines (NUJP). Ang hindi makakasama na mga kaanak ng Maguindanao massacre victims ngayong Sabado ay inaasahang bukas na lamang tutungo sa site kasama si Department of Secretary (DoJ) Secretary Leila De Lima."
0,Linisin ang Friendship Department dahil dadalawin ka ng Angel of Goodwill in this cycle. Inuutusan kang magpatawad ng isang friend. SCORPIO [Oct 23 - Nov 21]
0,"Ayon sa imbestigasyon, dakong 8:00 ng gabi noong Biyernes nang huling nakitang buhay ang konsehal sa kanyang resthouse sa Chatue Subdivision sa Bgy. Julugan 8. Pero umaga na nang madiskubre ang bangkay niya na may mga tama ng bala sa ulo at katawan."
0,"Pinaligiran ng Somali special forces ang tatlong duguang terorista matapos ideklara noong Sabado ng mga opisyal na kontrolado na nila ang Maka Al-Mukarramah Hotel, mahigit 12 oras matapos na salakayin ng mga armadong miyembro ng rebeldeng grupo ng al-Shabab ang hotel."
0,"Ang isa pa ay ang abilidad ni Mayweather na gamitin ang kanyang napakatinding depensa upang makapagtatag ng puntos kung ito ay may distansiya. ""That's his hometown,"" pahayag ni Murray sa gambling mecca ng Nevada desert. ""He's spoken a little bit about how much he means to the economy of the city""."
0,Clippers: Lumisan sa korte ang forward na si Spencer Hawes sanhi ng galos sa kaliwang tuhod sa huling bahagi ng first quarter at 'di na nagbalik pa. ... Hindi na naming naging aktibo sina guard Reggie Bullock (sprained right ankle) at guard Chris Douglas-Roberts (sore right Achilles). ... Ang nine-game winning streak ay ang ikaapat na pinakamahaba sa kasaysayan ng prangkisa.
0,"""People should fact-check. People shouldn't have to go through that and shouldn't answer to innuendos,"" sabi ni Bill sa pahayagan, sa istoryang inilathala noong Biyernes ng gabi. Tumanggap si Bill ng standing ovation sa simula ng kanyang 90-minutong show sa Melbourne, na nagtapos na hindi tinalakay ng komedyante ang mga alegasyon. Isang host sa Orlando-based Real Radio 104.1 ang nag-udyok sa mga taong dumalo sa show na tanungin si Bill tungkol sa mga alegasyon at kunin ang kanyang kasagutan, at nag-alok ng cash ang istasyon ng cash at mga premyo para sa pinakamagandang footage. Ngunit walang ni isa mang nagtanong kay Bill. Sinabi ni Bill sa Florida Today na ang ganitong mga alok sa mga nanonood sa kanya ay nanganganib na lumikha ng ""frat house mentality."" ""Now suppose someone brings a weapon or decided to do more foolishness,"" aniya. ""There will be announcements made and the stations made some disclaimers, but what if people don't listen to what they said and they entice violence."""
